5MHz,10MHz,15MHz,20MHz
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,74995.2
18748.8,37497.6,56246.4,68544.0
18748.8,37497.6,56246.4,68544.0
18748.8,37497.6,56246.4,68544.0
18748.8,37497.6,56246.4,68544.0
18748.8,37497.6,51408.0,68544.0
18748.8,37497.6,51408.0,60480.0
18748.8,37497.6,51408.0,60480.0
18748.8,37497.6,51408.0,60480.0
18748.8,37497.6,51408.0,60480.0
18748.8,34272.0,45360.0,60480.0
18748.8,34272.0,45360.0,60480.0
18748.8,34272.0,45360.0,60480.0
18748.8,34272.0,45360.0,60480.0
18748.8,34272.0,45360.0,52416.0
18748.8,34272.0,45360.0,52416.0
18748.8,30240.0,45360.0,52416.0
18748.8,30240.0,45360.0,52416.0
18748.8,30240.0,39312.0,52416.0
18748.8,30240.0,39312.0,52416.0
18748.8,30240.0,39312.0,52416.0
17136.0,30240.0,39312.0,52416.0
17136.0,30240.0,39312.0,52416.0
17136.0,30240.0,39312.0,44352.0
17136.0,30240.0,39312.0,44352.0
17136.0,26208.0,39312.0,44352.0
17136.0,26208.0,39312.0,44352.0
17136.0,26208.0,39312.0,44352.0
15120.0,26208.0,33264.0,44352.0
15120.0,26208.0,33264.0,44352.0
15120.0,26208.0,33264.0,44352.0
15120.0,26208.0,33264.0,44352.0
15120.0,26208.0,33264.0,36288.00000000001
15120.0,26208.0,33264.0,36288.00000000001
15120.0,26208.0,33264.0,36288.00000000001
15120.0,26208.0,33264.0,36288.00000000001
15120.0,22176.0,33264.0,36288.00000000001
15120.0,22176.0,33264.0,36288.00000000001
15120.0,22176.0,27216.000000000007,36288.00000000001
13104.0,22176.0,27216.000000000007,36288.00000000001
13104.0,22176.0,27216.000000000007,36288.00000000001
13104.0,22176.0,27216.000000000007,36288.00000000001
13104.0,22176.0,27216.000000000007,36288.00000000001
13104.0,22176.0,27216.000000000007,36288.00000000001
13104.0,22176.0,27216.000000000007,32255.999999999996
13104.0,22176.0,27216.000000000007,32255.999999999996
13104.0,22176.0,27216.000000000007,32255.999999999996
13104.0,18144.000000000004,27216.000000000007,32255.999999999996
13104.0,18144.000000000004,27216.000000000007,32255.999999999996
13104.0,18144.000000000004,27216.000000000007,32255.999999999996
13104.0,18144.000000000004,27216.000000000007,32255.999999999996
13104.0,18144.000000000004,24192.0,32255.999999999996
